State Postal Code,State FIPS,Dist ID,School District Name
MN,27,00106,A.C.G.C. Public School District
MN,27,00126,Ada-Borup Public School District
MN,27,02730,Adrian Public School District
MN,27,02760,Aitkin Public School District
MN,27,02930,Albany Public School District
MN,27,02970,Albert Lea Public School District
MN,27,03030,Alden-Conger Public School District
MN,27,03060,Alexandria Public School District
MN,27,03150,Annandale Public School District
MN,27,03180,Anoka-Hennepin Public School District
MN,27,03300,Ashby Public School District
MN,27,03450,Austin Public School District
MN,27,03540,Badger Public School District
MN,27,03570,Bagley Public School District
MN,27,03660,Barnesville Public School District
MN,27,03690,Barnum Public School District
MN,27,03750,Battle Lake Public School District
MN,27,03870,Becker Public School District
MN,27,00105,Belgrade-Brooten-Elrosa Public School District
MN,27,04050,Belle Plaine Public School District
MN,27,04440,Bemidji Public School District
MN,27,04470,Benson Public School District
MN,27,05430,Bertha-Hewitt Public School District
MN,27,05460,Big Lake Public School District
MN,27,05660,Bird Island-Olivia-Lake Lillian Public School Dist
MN,27,05730,Blackduck Public School District
MN,27,05760,Blooming Prairie Public School District
MN,27,05790,Bloomington Public School District
MN,27,00130,Blue Earth Area Public Schools
MN,27,06060,Braham Public School District
MN,27,06090,Brainerd Public School District
MN,27,00382,Brandon-Evansville Public Schools
MN,27,06150,Breckenridge Public School District
MN,27,06240,Brooklyn Center School District
MN,27,06300,Browerville Public School District
MN,27,07110,Browns Valley Public School District
MN,27,00023,Buffalo Lake-Hector-Stewart Public Schools
MN,27,07200,Buffalo-Hanover-Montrose Public Schools
MN,27,07290,Burnsville Public School District
MN,27,07320,Butterfield Public School District
MN,27,07350,Byron Public School District
MN,27,07380,Caledonia Public School District
MN,27,07410,Cambridge-Isanti Public School District
MN,27,07450,Campbell-Tintah Public School District
MN,27,07470,Canby Public School District
MN,27,07500,Cannon Falls Public School District
MN,27,07590,Carlton Public School District
MN,27,08070,Cass Lake-Bena Public Schools
MN,27,00110,Cedar Mountain School District
MN,27,08100,Centennial Public School District
MN,27,23910,Central Public School District
MN,27,08220,Chatfield Public Schools
MN,27,00017,Chisago Lakes School District
MN,27,08910,Chisholm Public School District
MN,27,08940,Chokio-Alberta Public School District
MN,27,00103,Clearbrook-Gonvick School District
MN,27,09330,Cleveland Public School District
MN,27,09360,Climax-Shelly Public Schools
MN,27,00150,Clinton-Graceville-Beardsley
MN,27,27002,Clinton-Graceville-Beardsley-Wheaton-Sisseton/Wilm
MN,27,09420,Cloquet Public School District
MN,27,09510,Columbia Heights Public School District
MN,27,09540,Comfrey Public School District
MN,27,13110,Cook County Public Schools
MN,27,09690,Cromwell-Wright Public Schools
MN,27,09720,Crookston Public School District
MN,27,09750,Crosby-Ironton Public School District
MN,27,10060,Dassel-Cokato Public School District
MN,27,10090,Dawson-Boyd Public School District
MN,27,10140,Deer River Public School District
MN,27,10170,Delano Public School District
MN,27,10230,Detroit Lakes Public School District
MN,27,10260,Dilworth-Glyndon-Felton
MN,27,11010,Dover-Eyota Public School District
MN,27,11040,Duluth Public School District
MN,27,11085,East Central School District
MN,27,11130,East Grand Forks Public School District
MN,27,08190,Eastern Carver County Public Schools
MN,27,14220,Eden Prairie Public School District
MN,27,11190,Eden Valley-Watkins School District
MN,27,11220,Edgerton Public School District
MN,27,11250,Edina Public School District
MN,27,11370,Elk River Public School District
MN,27,99001,Elkton School District 05-3 in Lake Benton (7-12)
MN,27,11460,Ellsworth Public School District
MN,27,11520,Ely Public School District
MN,27,38880,Esko Public School District
MN,27,00021,Eveleth-Gilbert School District
MN,27,00124,Fairmont Area School District
MN,27,11760,Faribault Public School District
MN,27,11820,Farmington Public School District
MN,27,11880,Fergus Falls Public School District
MN,27,11910,Fertile-Beltrami School District
MN,27,00100,Fillmore Central
MN,27,12180,Fisher Public School District
MN,27,12210,Floodwood Public School District
MN,27,12240,Foley Public School District
MN,27,12270,Forest Lake Public School District
MN,27,12300,Fosston Public School District
MN,27,08880,Franconia Public School District
MN,27,12360,Frazee-Vergas Public School District
